id,star,name,name_link,cost,hp1,hpmax,atk1,atkmax,des,des_max,icon,img_link
1,1,顽强,顽强,1,100,300,0,0,自身的防御力提升3%,自身的防御力提升5%[最大解放],https://fgo.wiki\images/8/89/礼装001.jpg,https://fgo.wiki\images/2/25/%E9%A1%BD%E5%BC%BA.png
2,1,冥想,冥想,1,150,450,0,0,自身的弱化状态耐性提升5%,自身的弱化状态耐性提升10%[最大解放],https://fgo.wiki\images/4/4c/礼装002.jpg,https://fgo.wiki\images/8/88/%E5%86%A5%E6%83%B3.png
3,1,技巧,技巧,1,0,0,100,300,自身的Arts指令卡性能提升3%,自身的Arts指令卡性能提升5%[最大解放],https://fgo.wiki\images/5/56/礼装003.jpg,https://fgo.wiki\images/f/ff/%E6%8A%80%E5%B7%A7.png
4,1,先制,先制,1,0,0,100,300,自身的Quick指令卡性能提升3%,自身的Quick指令卡性能提升5%[最大解放],https://fgo.wiki\images/3/3b/礼装004.jpg,https://fgo.wiki\images/1/1b/%E5%85%88%E5%88%B6.png
5,1,破坏,破坏,1,0,0,100,300,自身的Buster指令卡性能提升3%,自身的Buster指令卡性能提升5%[最大解放],https://fgo.wiki\images/1/14/礼装005.jpg,https://fgo.wiki\images/4/48/%E7%A0%B4%E5%9D%8F.png
6,2,闪光,闪光,3,0,0,150,500,自身的暴击威力提升5%,自身的暴击威力提升10%[最大解放],https://fgo.wiki\images/4/4b/礼装006.jpg,https://fgo.wiki\images/1/1d/%E9%97%AA%E5%85%89.png
7,2,良机,良机,3,112,375,75,250,自身的暴击星掉落率提升5%,自身的暴击星掉落率提升10%[最大解放],https://fgo.wiki\images/7/79/礼装007.jpg,https://fgo.wiki\images/3/32/%E8%89%AF%E6%9C%BA.png
8,2,丰收,丰收,3,112,375,75,250,自身以NP已达10%的状态开始战斗,自身以NP已达20%的状态开始战斗[最大解放],https://fgo.wiki\images/5/50/礼装008.jpg,https://fgo.wiki\images/c/c6/%E4%B8%B0%E6%94%B6.png
9,2,集中,集中,3,112,375,75,250,自身的NP获得量提升5%,自身的NP获得量提升10%[最大解放],https://fgo.wiki\images/8/82/礼装009.jpg,https://fgo.wiki\images/d/d6/%E9%9B%86%E4%B8%AD.png
10,2,天启,天启,3,0,0,150,500,自身的宝具威力提升5%,自身的宝具威力提升10%[最大解放],https://fgo.wiki\images/d/d2/礼装010.jpg,https://fgo.wiki\images/0/0d/%E5%A4%A9%E5%90%AF.png
