id,star,name_cn,name_jp,name_en,name_link,name_other,cost,faction,get,hp,atk,class_link,avatar,np_type,img_links
1,1,玛修・基列莱特,マシュ・キリエライト,Mash Kyrielight,玛修·基列莱特,盾娘&学妹,0,地,初始获得,12877,8730,Shielder,https://fgo.wiki\images/9/9c/Servant001.jpg,辅助,['https://fgo.wiki\\images/8/84/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9-%E5%8D%A1%E9%9D%A2-1-v2.png'	'https://fgo.wiki\\images/7/71/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9-%E5%8D%A1%E9%9D%A2-2-v2.png'	'https://fgo.wiki\\images/6/68/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9-%E5%8D%A1%E9%9D%A2-3-v2.png'	'https://fgo.wiki\\images/9/90/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9-%E5%8D%A1%E9%9D%A2-4.png'	'https://fgo.wiki\\images/f/f6/%E7%8E%9B%E4%BF%AE2.0.png'	'https://fgo.wiki\\images/4/40/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9%E7%81%B5%E8%A1%A33.png'	'https://fgo.wiki\\images/8/88/%E7%8E%9B%E4%BF%AE%E6%B3%B3%E8%A3%85.png'	'https://fgo.wiki\\images/9/99/%E7%8E%9B%E4%BF%AE%E6%B3%B3%E8%A3%852.png'	'https://fgo.wiki\\images/0/01/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9-%E5%8D%A1%E9%9D%A2-y.png'	'https://fgo.wiki\\images/3/3f/%E7%8E%9B%E4%BF%AE%C2%B7%E5%9F%BA%E5%88%97%E8%8E%B1%E7%89%B9-%E5%8D%A1%E9%9D%A2-y%28%E5%A5%A5%E7%89%B9%E7%91%99%E6%96%AF%29.png']
2,1,阿尔托莉雅・潘德拉贡,アルトリア・ペンドラゴン,Altria Pendragon,阿尔托莉雅·潘德拉贡,呆毛&蓝呆&棉被&Saber&看板娘,16,地,圣晶石常驻,15150,11221,Saber,https://fgo.wiki\images/c/ca/Servant002.jpg,全体,['https://fgo.wiki\\images/0/0b/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85-%E5%8D%A1%E9%9D%A21.png'	'https://fgo.wiki\\images/f/ff/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85-%E5%8D%A1%E9%9D%A22.png'	'https://fgo.wiki\\images/9/96/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85-%E5%8D%A1%E9%9D%A23.png'	'https://fgo.wiki\\images/e/ec/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85-%E5%8D%A1%E9%9D%A24.png'	'https://fgo.wiki\\images/8/83/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1%E7%81%B5%E8%A1%A31.png'	'https://fgo.wiki\\images/a/a8/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85-%E5%8D%A1%E9%9D%A2y.png']
3,1,阿尔托莉雅・潘德拉贡〔Alter〕,アルトリア・ペンドラゴン〔オルタ〕,Altria Pendragon (Alter),阿尔托莉雅·潘德拉贡〔Alter〕,黑呆&黑无毛,12,人,剧情限定,11589,10248,Saber,https://fgo.wiki\images/2/27/Servant003.jpg,全体,['https://fgo.wiki\\images/e/ec/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1%C2%B7Alter-%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4I.png'	'https://fgo.wiki\\images/c/cd/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1%C2%B7Alter-%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4II.png'	'https://fgo.wiki\\images/c/ce/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1%C2%B7Alter-%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4III.png'	'https://fgo.wiki\\images/3/32/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1%C2%B7Alter-%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4IV.png'	'https://fgo.wiki\\images/2/25/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1%E3%80%94Alter%E3%80%95%E7%81%B5%E8%A1%A31.png'	'https://fgo.wiki\\images/9/96/%E9%98%BF%E5%B0%94%E6%89%98%E8%8E%89%E9%9B%85%C2%B7%E6%BD%98%E5%BE%B7%E6%8B%89%E8%B4%A1%C2%B7Alter-%E6%84%9A%E4%BA%BA%E8%8A%82.png']
4,1,阿尔托莉雅・潘德拉贡〔Lily〕,アルトリア・ペンドラゴン〔リリィ〕,Altria Pendragon (Lily),阿尔托莉雅·潘德拉贡〔Lily〕,莉莉,12,地,事前登录赠送&活动赠送&友情点召唤,10623,7726,Saber,https://fgo.wiki\images/e/e9/Servant004.jpg,全体,['https://fgo.wiki\\images/b/b9/Saberlily%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B41.png'	'https://fgo.wiki\\images/0/0b/Saberlily%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B42.png'	'https://fgo.wiki\\images/9/9e/Saberlily%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B43.png'	'https://fgo.wiki\\images/a/a0/Saberlily%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B44.png'	'https://fgo.wiki\\images/2/2d/Saberlily%E6%84%9A%E4%BA%BA%E8%8A%82.png']
5,1,尼禄・克劳狄乌斯,ネロ・クラウディウス,Nero Claudius,尼禄·克劳狄乌斯,尼禄&红Saber,12,人,剧情限定,11753,9449,Saber,https://fgo.wiki\images/5/59/Servant005.jpg,全体,['https://fgo.wiki\\images/3/3e/%E5%B0%BC%E7%A6%84%E7%81%B5%E5%9F%BA%E2%85%A0.png'	'https://fgo.wiki\\images/3/35/%E5%B0%BC%E7%A6%84%E7%81%B5%E5%9F%BA%E2%85%A1.png'	'https://fgo.wiki\\images/a/a4/%E5%B0%BC%E7%A6%84%E7%81%B5%E5%9F%BA%E2%85%A2.png'	'https://fgo.wiki\\images/1/13/%E5%B0%BC%E7%A6%84%E7%81%B5%E5%9F%BA%E2%85%A3.png'	'https://fgo.wiki\\images/a/ac/%E5%B0%BC%E7%A6%84%E7%81%B5%E8%A1%A3%E5%BC%80%E6%94%BE.png'	'https://fgo.wiki\\images/c/ce/%E5%B0%BC%E7%A6%84%C2%B7%E5%85%8B%E5%8A%B3%E7%8B%84%E4%B9%8C%E6%96%AF%E7%81%B5%E8%A1%A32.png'	'https://fgo.wiki\\images/1/18/%E5%B0%BC%E7%A6%84%E6%84%9A%E4%BA%BA%E8%8A%82.png']
6,1,齐格飞,ジークフリート,Siegfried,齐格飞,飞哥,12,地,圣晶石常驻,14165,8181,Saber,https://fgo.wiki\images/2/20/Servant006.jpg,全体,['https://fgo.wiki\\images/3/3c/%E9%BD%90%E6%A0%BC%E9%A3%9E%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4I.png'	'https://fgo.wiki\\images/4/47/%E9%BD%90%E6%A0%BC%E9%A3%9E%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4II.png'	'https://fgo.wiki\\images/b/b7/%E9%BD%90%E6%A0%BC%E9%A3%9E%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4III.png'	'https://fgo.wiki\\images/9/99/%E9%BD%90%E6%A0%BC%E9%A3%9E%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4IV.png'	'https://fgo.wiki\\images/e/e8/%E9%BD%90%E6%A0%BC%E9%A3%9E%E6%B3%B3%E8%A3%85%E7%81%B5%E8%A1%A3.png'	'https://fgo.wiki\\images/b/bf/%E9%BD%90%E6%A0%BC%E9%A3%9E%E6%84%9A%E4%BA%BA%E8%8A%82%E7%AB%8B%E7%BB%98.png']
7,1,盖乌斯・尤利乌斯・恺撒,ガイウス・ユリウス・カエサル,Gaius Julius Caesar,盖乌斯·尤利乌斯·恺撒,红Saber&胖尼禄,7,人,圣晶石常驻&友情点召唤,9595,7497,Saber,https://fgo.wiki\images/f/f9/Servant007.jpg,单体,['https://fgo.wiki\\images/2/2f/%E6%81%BA%E6%92%92%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B41.png'	'https://fgo.wiki\\images/3/3b/%E6%81%BA%E6%92%92%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B42.png'	'https://fgo.wiki\\images/7/74/%E6%81%BA%E6%92%92%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B43.png'	'https://fgo.wiki\\images/4/43/%E6%81%BA%E6%92%92%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B44.png'	'https://fgo.wiki\\images/d/d0/%E6%81%BA%E6%92%92%E6%84%9A%E4%BA%BA%E8%8A%82.png']
8,1,阿蒂拉,アルテラ,Altera,阿蒂拉,大王&B提拉,16,人,圣晶石常驻,13907,12343,Saber,https://fgo.wiki\images/0/0b/Servant008.jpg,全体,['https://fgo.wiki\\images/0/04/008A.png'	'https://fgo.wiki\\images/1/11/008B.png'	'https://fgo.wiki\\images/5/57/008C.png'	'https://fgo.wiki\\images/5/52/008D.png'	'https://fgo.wiki\\images/9/9c/008E.png']
9,1,吉尔・德・雷,ジル・ド・レェ,Gilles de Rais,吉尔·德·雷,剑元帅,7,人,圣晶石常驻&友情点召唤,10498,6615,Saber,https://fgo.wiki\images/e/e7/Servant009.jpg,辅助,['https://fgo.wiki\\images/7/7b/%E5%90%89%E5%B0%94%C2%B7%E5%BE%B7%C2%B7%E9%9B%B7%28Saber%29%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B41.png'	'https://fgo.wiki\\images/c/cf/%E5%90%89%E5%B0%94%C2%B7%E5%BE%B7%C2%B7%E9%9B%B7%28Saber%29%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B42.png'	'https://fgo.wiki\\images/6/6f/%E5%90%89%E5%B0%94%C2%B7%E5%BE%B7%C2%B7%E9%9B%B7%28Saber%29%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B43.png'	'https://fgo.wiki\\images/9/9f/%E5%90%89%E5%B0%94%C2%B7%E5%BE%B7%C2%B7%E9%9B%B7%28Saber%29%E7%81%B5%E5%9F%BA%E7%AA%81%E7%A0%B44.png'	'https://fgo.wiki\\images/2/27/%E5%90%89%E5%B0%94%C2%B7%E5%BE%B7%C2%B7%E9%9B%B7%28Saber%29%E6%84%9A%E4%BA%BA%E8%8A%82.png']
10,1,骑士迪昂,シュヴァリエ・デオン,Chevalier d'Eon,骑士迪昂,,12,人,圣晶石常驻,13256,8765,Saber,https://fgo.wiki\images/f/fe/Servant010.jpg,辅助,['https://fgo.wiki\\images/8/8a/%E8%BF%AA%E6%98%82%E5%88%9D%E5%A7%8B%E7%8A%B6%E6%80%81.png'	'https://fgo.wiki\\images/a/a1/%E8%BF%AA%E6%98%82%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4I.png'	'https://fgo.wiki\\images/d/dd/%E8%BF%AA%E6%98%82%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4III.png'	'https://fgo.wiki\\images/8/85/%E8%BF%AA%E6%98%82%E7%81%B5%E5%9F%BA%E5%86%8D%E4%B8%B4IV.png'	'https://fgo.wiki\\images/6/64/%E8%BF%AA%E6%98%82%E6%84%9A%E4%BA%BA%E8%8A%82.png']
