id,star,star_str,name,name_link,name_other,cost,hp1,hpmax,atk1,atkmax,des,des_max,icon,icon_eff,type_marker,stars_marker,stats_marker,sort_atk,sort_hp
1,1,★,顽强,顽强,,1,100,300,0,0,自身的防御力提升3%,自身的防御力提升5%[最大解放],/images/8/89/礼装001.jpg,/images/3/32/加防.png,64,2,2,1,1018
2,1,★,冥想,冥想,,1,150,450,0,0,自身的弱化状态耐性提升5%,自身的弱化状态耐性提升10%[最大解放],/images/4/4c/礼装002.jpg,/images/6/6c/弱化耐性提升.png,64,2,2,2,1023
3,1,★,技巧,技巧,,1,0,0,100,300,自身的Arts指令卡性能提升3%,自身的Arts指令卡性能提升5%[最大解放],/images/5/56/礼装003.jpg,/images/0/03/蓝放.png,64,2,4,943,314
4,1,★,先制,先制,,1,0,0,100,300,自身的Quick指令卡性能提升3%,自身的Quick指令卡性能提升5%[最大解放],/images/3/3b/礼装004.jpg,/images/4/45/绿放.png,64,2,4,944,315
5,1,★,破坏,破坏,,1,0,0,100,300,自身的Buster指令卡性能提升3%,自身的Buster指令卡性能提升5%[最大解放],/images/1/14/礼装005.jpg,/images/4/42/红放.png,64,2,4,945,316
6,2,★★,闪光,闪光,,3,0,0,150,500,自身的暴击威力提升5%,自身的暴击威力提升10%[最大解放],/images/4/4b/礼装006.jpg,/images/d/db/暴击威力提升.png,64,4,4,948,319
7,2,★★,良机,良机,,3,112,375,75,250,自身的暴击星掉落率提升5%,自身的暴击星掉落率提升10%[最大解放],/images/7/79/礼装007.jpg,/images/6/63/掉星率增加.png,64,4,8,939,1019
8,2,★★,丰收,丰收,,3,112,375,75,250,自身以NP已达10%的状态开始战斗,自身以NP已达20%的状态开始战斗[最大解放],/images/5/50/礼装008.jpg,/images/1/14/充能.png,64,4,8,940,1020
9,2,★★,集中,集中,,3,112,375,75,250,自身的NP获得量提升5%,自身的NP获得量提升10%[最大解放],/images/8/82/礼装009.jpg,/images/4/42/NP获得量提升.png,64,4,8,941,1021
10,2,★★,天启,天启,,3,0,0,150,500,自身的宝具威力提升5%,自身的宝具威力提升10%[最大解放],/images/d/d2/礼装010.jpg,/images/d/d9/宝具威力提升.png,64,4,4,949,320
11,3,★★★,Azoth剑,Azoth剑,,5,200,1000,0,0,自身的防御力提升8%,自身的防御力提升10%[最大解放],/images/2/2e/礼装011.jpg,/images/3/32/加防.png,64,8,2,3,1070
12,3,★★★,伪臣之书,伪臣之书,,5,300,1500,0,0,自身的弱化状态耐性提升15%,自身的弱化状态耐性提升20%[最大解放],/images/a/a0/礼装012.jpg,/images/6/6c/弱化耐性提升.png,64,8,2,4,1132
13,3,★★★,青之黑键,青之黑键,,5,0,0,200,1000,自身的Arts指令卡性能提升8%,自身的Arts指令卡性能提升10%[最大解放],/images/f/f5/礼装013.jpg,/images/0/03/蓝放.png,64,8,4,1056,323
14,3,★★★,绿之黑键,绿之黑键,,5,0,0,200,1000,自身的Quick指令卡性能提升8%,自身的Quick指令卡性能提升10%[最大解放],/images/a/a5/礼装014.jpg,/images/4/45/绿放.png,64,8,4,1057,324
15,3,★★★,赤之黑键,赤之黑键,,5,0,0,200,1000,自身的Buster指令卡性能提升8%,自身的Buster指令卡性能提升10%[最大解放],/images/1/1f/礼装015.jpg,/images/4/42/红放.png,64,8,4,1058,325
16,3,★★★,凛的吊坠,凛的吊坠,,5,0,0,200,1000,自身的暴击威力增加15%,自身的暴击威力增加20%[最大解放],/images/0/08/礼装016.jpg,/images/d/db/暴击威力提升.png,64,8,4,1059,326
17,3,★★★,魔导书,魔导书,,5,150,750,100,500,自身暴击星掉落率提升15%,自身暴击星掉落率提升20%[最大解放],/images/f/f7/礼装017.jpg,/images/6/63/掉星率增加.png,64,8,8,950,1037
18,3,★★★,龙脉,龙脉,,5,150,750,100,500,自身以NP已达30%的状态开始战斗,自身以NP已达50%的状态开始战斗[最大解放],/images/f/fe/礼装018.jpg,/images/1/14/充能.png,64,8,8,951,1038
19,3,★★★,魔术矿石,魔术矿石,,5,150,750,100,500,自身的NP获得量提升15%,自身的NP获得量提升20%[最大解放],/images/e/e3/礼装019.jpg,/images/4/42/NP获得量提升.png,64,8,8,952,1039
